date,source,total_cases,total_deaths,missing_cases_zip_count,missing_deaths_zip_count
2020-05-02,time_series_data/reduced_geojson/nc_zip0502.json,11166,419,50,0
2020-05-03,time_series_data/reduced_geojson/nc_zip0503.json,11321,421,50,0
2020-05-04,time_series_data/reduced_geojson/nc_zip0504.json,11037,427,50,0
2020-05-05,time_series_data/reduced_geojson/nc_zip0505.json,11437,449,50,0
2020-05-06,time_series_data/reduced_geojson/nc_zip0506.json,11937,473,50,0
2020-05-07,time_series_data/reduced_geojson/nc_zip0507.json,13024,503,50,0
2020-05-08,time_series_data/reduced_geojson/nc_zip0508.json,13492,523,50,0
2020-05-09,time_series_data/reduced_geojson/nc_zip0509.json,13971,540,50,50
2020-05-10,time_series_data/reduced_geojson/nc_zip0510.json,14369,543,50,50
2020-05-11,time_series_data/reduced_geojson/nc_zip0511.json,14638,546,50,50
2020-05-12,time_series_data/reduced_geojson/nc_zip0512.json,14904,572,50,50
2020-05-13,time_series_data/reduced_geojson/nc_zip0513.json,15375,592,50,50
2020-05-14,time_series_data/reduced_geojson/nc_zip0514.json,16078,610,50,50
2020-05-15,time_series_data/reduced_geojson/nc_zip0515.json,16680,636,50,50
2020-05-16,time_series_data/reduced_geojson/nc_zip0516.json,17539,647,50,50
2020-05-17,time_series_data/reduced_geojson/nc_zip0517.json,18058,654,50,50
2020-05-18,time_series_data/reduced_geojson/nc_zip0518.json,18088,654,50,50
2020-05-19,time_series_data/reduced_geojson/nc_zip0519.json,18980,677,50,50
2020-05-23,time_series_data/reduced_geojson/nc_zip0523.json,22224,732,50,50
2020-05-24,time_series_data/reduced_geojson/nc_zip0524.json,22689,739,50,50
2020-05-25,time_series_data/reduced_geojson/nc_zip0525.json,23413,749,50,50
2020-05-26,time_series_data/reduced_geojson/nc_zip0526.json,23610,761,50,50
2020-05-27,time_series_data/reduced_geojson/nc_zip0527.json,24100,789,50,50
2020-05-28,time_series_data/reduced_geojson/nc_zip0528.json,24869,822,50,50
2020-05-29,time_series_data/reduced_geojson/nc_zip0529.json,25889,854,50,50
2020-05-30,time_series_data/reduced_geojson/nc_zip0530.json,27013,872,50,50
2020-05-31,time_series_data/reduced_geojson/nc_zip0531.json,27875,881,50,50
2020-06-01,time_series_data/reduced_geojson/nc_zip0601.json,28533,892,50,50
2020-06-02,time_series_data/reduced_geojson/nc_zip0602.json,29164,913,50,50
2020-06-03,time_series_data/reduced_geojson/nc_zip0603.json,30043,931,50,50
2020-06-04,time_series_data/reduced_geojson/nc_zip0604.json,31216,952,50,50
2020-06-05,time_series_data/reduced_geojson/nc_zip0605.json,32496,959,50,50
2020-06-06,time_series_data/reduced_geojson/nc_zip0606.json,33825,983,50,50
2020-06-07,time_series_data/reduced_geojson/nc_zip0607.json,34750,987,49,49
2020-06-08,time_series_data/reduced_geojson/nc_zip0608.json,35648,996,49,49
2020-06-09,time_series_data/reduced_geojson/nc_zip0609.json,36350,1019,49,49
2020-06-10,time_series_data/reduced_geojson/nc_zip0610.json,37379,1043,49,49
2020-06-11,time_series_data/reduced_geojson/nc_zip0611.json,38661,1054,49,49
2020-06-12,time_series_data/reduced_geojson/nc_zip0612.json,40390,1082,49,49
2020-06-13,time_series_data/reduced_geojson/nc_zip0613.json,41823,1094,49,49
2020-06-14,time_series_data/reduced_geojson/nc_zip0614.json,43259,1099,49,49
2020-06-15,time_series_data/reduced_geojson/nc_zip0615.json,44203,1108,49,49
2020-06-16,time_series_data/reduced_geojson/nc_zip0616.json,44976,1144,49,49
2020-06-17,time_series_data/reduced_geojson/nc_zip0617.json,45950,1158,48,48
2020-06-18,time_series_data/reduced_geojson/nc_zip0618.json,47268,1165,48,48
2020-06-19,time_series_data/reduced_geojson/nc_zip0619.json,48913,1186,48,48
2020-06-20,time_series_data/reduced_geojson/nc_zip0620.json,50344,1201,48,48
2020-06-21,time_series_data/reduced_geojson/nc_zip0621.json,51784,1209,48,48
2020-06-22,time_series_data/reduced_geojson/nc_zip0622.json,52607,1212,48,48
2020-06-23,time_series_data/reduced_geojson/nc_zip0623.json,53472,1239,48,48
2020-06-24,time_series_data/reduced_geojson/nc_zip0624.json,55168,1260,48,48
2020-06-25,time_series_data/reduced_geojson/nc_zip0625.json,56192,1279,48,48
2020-06-26,time_series_data/reduced_geojson/nc_zip0626.json,57809,1291,48,48
2020-06-27,time_series_data/reduced_geojson/nc_zip0627.json,59517,1306,48,48
2020-06-28,time_series_data/reduced_geojson/nc_zip0628.json,61076,1310,48,48
2020-06-29,time_series_data/reduced_geojson/nc_zip0629.json,62392,1313,48,48
2020-06-30,time_series_data/reduced_geojson/nc_zip0630.json,63563,1331,48,48
2020-07-01,time_series_data/reduced_geojson/nc_zip0701.json,65350,1361,48,48
