zip,place,total_pop,cases,deaths,note
27006,Advance,14872,136,3,
27007,Ararat,2136,33,0,
27009,Belews Creek,2937,17,0,
27011,Boonville,5411,84,1,
27012,Clemmons,28954,438,12,
27013,Cleveland,6495,110,3,
27014,Cooleemee,957,8,0,
27016,Danbury,1682,23,0,
27017,Dobson,9499,220,1,
27018,East Bend,8221,121,2,
27019,Germanton,4234,43,0,
27020,Hamptonville,6104,143,2,
27021,King,17979,175,1,
27022,Lawsonville,1512,13,0,
27023,Lewisville,12775,164,1,
27024,Lowgap,2683,26,1,
27025,Madison,11117,280,2,
27027,Mayodan,4017,63,0,
27028,Mocksville,28039,451,3,
27030,Mount Airy,37641,695,12,
27040,Pfafftown,13150,135,1,
27041,Pilot Mountain,8020,87,0,
27042,Pine Hall,720,15,1,
27043,Pinnacle,6442,92,1,
27045,Rural Hall,9583,179,3,
27046,Sandy Ridge,1953,19,1,
27047,Siloam,1279,10,0,
27048,Stoneville,8902,116,0,
27050,Tobaccoville,4084,37,0,
27051,Walkertown,8287,108,1,
27052,Walnut Cove,10061,113,0,
27053,Westfield,3156,22,0,
27054,Woodleaf,2608,45,0,
27055,Yadkinville,14521,330,2,
27101,Winston Salem,24321,330,12,
27103,Winston Salem,36071,628,17,
27104,Winston Salem,29383,475,11,
27105,Winston Salem,40186,1066,9,
27106,Winston Salem,51378,886,10,
27107,Winston Salem,52432,1239,15,
27127,Winston Salem,38510,842,6,
27157,Winston Salem,5,10,0,
27203,Asheboro,21876,786,19,
27205,Asheboro,34549,702,12,
27207,Bear Creek,3806,98,1,
27208,Bennett,1691,44,0,
27209,Biscoe,4151,323,20,
27212,Blanch,1600,128,0,
27214,Browns Summit,11747,152,1,
27215,Burlington,44892,860,8,
27217,Burlington,39111,1510,38,
27229,Candor,4014,222,7,
27231,Cedar Grove,2048,19,0,
27233,Climax,3647,20,0,
27235,Colfax,4575,68,0,
27239,Denton,9629,120,3,
27242,Eagle Springs,2668,56,0,
27243,Efland,4665,66,1,
27244,Elon,16259,234,2,
27248,Franklinville,4835,63,2,
27249,Gibsonville,13355,174,2,
27252,Goldston,2264,14,1,
27253,Graham,31464,912,5,
27258,Haw River,7740,164,2,
27260,High Point,25696,602,14,
27262,High Point,24764,511,6,
27263,High Point,22320,453,5,
27265,High Point,50038,764,22,
27268,High Point,1695,47,0,
27278,Hillsborough,27181,350,1,
27281,Jackson Springs,3710,64,0,
27282,Jamestown,16597,231,4,
27283,Julian,2982,43,1,
27284,Kernersville,56201,833,8,
27288,Eden,23585,361,3,
27291,Leasburg,1538,8,0,
27292,Lexington,41465,719,6,
27295,Lexington,39191,611,16,
27298,Liberty,10440,159,0,
27299,Linwood,5254,101,0,
27301,Mc Leansville,10019,115,2,
27302,Mebane,32302,482,0,
27305,Milton,1585,39,1,
27306,Mount Gilead,5945,164,4,
27310,Oak Ridge,8562,81,1,
27311,Pelham,3220,29,0,
27312,Pittsboro,22205,250,21,
27313,Pleasant Garden,7288,121,17,
27314,Prospect Hill,1138,7,0,
27315,Providence,2140,21,0,
27316,Ramseur,7156,197,11,
27317,Randleman,17851,303,6,
27320,Reidsville,38894,447,8,
27325,Robbins,7676,257,2,
27326,Ruffin,3692,40,2,
